Entity,Code,Year,Barley | 00000044 || Production | 005510 || tonnes
Albania,ALB,1994,9000
Albania,ALB,1995,7274
Albania,ALB,1996,3195
Albania,ALB,1997,3738
Albania,ALB,1998,3248
Albania,ALB,1999,2900
Albania,ALB,2000,1800
Albania,ALB,2001,3000
Albania,ALB,2002,3800
Albania,ALB,2003,2900
Albania,ALB,2004,3700
Albania,ALB,2005,4100
Albania,ALB,2006,6000
Albania,ALB,2007,3500
Albania,ALB,2008,3600
Albania,ALB,2009,4500
Albania,ALB,2010,7300
Albania,ALB,2011,8700
Albania,ALB,2012,7000
Albania,ALB,2013,6970
Albania,ALB,2014,7300
Albania,ALB,2015,7000
Albania,ALB,2016,9000
Albania,ALB,2017,9035
Albania,ALB,2018,9655
Albania,ALB,2019,7942
Albania,ALB,2020,12645
Algeria,DZA,1961,211919
Algeria,DZA,1962,818700
Algeria,DZA,1963,691083
Algeria,DZA,1964,277266
Algeria,DZA,1965,378643
Algeria,DZA,1966,129770
Algeria,DZA,1967,339619
Algeria,DZA,1968,537852
Algeria,DZA,1969,466377
Algeria,DZA,1970,571438
Algeria,DZA,1971,371768
Algeria,DZA,1972,643995
Algeria,DZA,1973,373869
Algeria,DZA,1974,331422
Algeria,DZA,1975,742720
Algeria,DZA,1976,588672
Algeria,DZA,1977,260309
Algeria,DZA,1978,396965
Algeria,DZA,1979,456584
Algeria,DZA,1980,794190
Algeria,DZA,1981,524800
Algeria,DZA,1982,483443
Algeria,DZA,1983,446753
Algeria,DZA,1984,502700
Algeria,DZA,1985,1330180
Algeria,DZA,1986,1082800
Algeria,DZA,1987,819894
Algeria,DZA,1988,389660
Algeria,DZA,1989,789882
Algeria,DZA,1990,833400
Algeria,DZA,1991,1809960
Algeria,DZA,1992,1398290
Algeria,DZA,1993,408023
Algeria,DZA,1994,234067
Algeria,DZA,1995,584980
Algeria,DZA,1996,1800222
Algeria,DZA,1997,190892
Algeria,DZA,1998,700000
Algeria,DZA,1999,510000
Algeria,DZA,2000,163287
Algeria,DZA,2001,574654
Algeria,DZA,2002,416112
Algeria,DZA,2003,1221976
Algeria,DZA,2004,1211600
Algeria,DZA,2005,1032819
Algeria,DZA,2006,1235880
Algeria,DZA,2007,1186658
Algeria,DZA,2008,395922
Algeria,DZA,2009,2203359
Algeria,DZA,2010,1503900
Algeria,DZA,2011,1258080
Algeria,DZA,2012,1591715
Algeria,DZA,2013,1498639
Algeria,DZA,2014,939401
Algeria,DZA,2015,1030556
Algeria,DZA,2016,919907
Algeria,DZA,2017,969696
Algeria,DZA,2018,1957327
Algeria,DZA,2019,1647746
Algeria,DZA,2020,1213137
Americas (FAO),,1961,12543154
Americas (FAO),,1962,14031559
Americas (FAO),,1963,15191911
Americas (FAO),,1964,13659333
Americas (FAO),,1965,14452196
Americas (FAO),,1966,16291780
Americas (FAO),,1967,15002521
Americas (FAO),,1968,17777856
Americas (FAO),,1969,18696380
Americas (FAO),,1970,19122154
Americas (FAO),,1971,24556442
Americas (FAO),,1972,22244722
Americas (FAO),,1973,20976729
Americas (FAO),,1974,16542306
Americas (FAO),,1975,19320897
Americas (FAO),,1976,20734459
Americas (FAO),,1977,22490755
Americas (FAO),,1978,22015197
Americas (FAO),,1979,18150705
Americas (FAO),,1980,20519642
Americas (FAO),,1981,25257179
Americas (FAO),,1982,26357782
Americas (FAO),,1983,22452740
Americas (FAO),,1984,24641338
Americas (FAO),,1985,26513879
Americas (FAO),,1986,29098981
Americas (FAO),,1987,26902261
Americas (FAO),,1988,17986428
Americas (FAO),,1989,22243309
Americas (FAO),,1990,24114351
Americas (FAO),,1991,23544790
Americas (FAO),,1992,22846287
Americas (FAO),,1993,23256184
Americas (FAO),,1994,21154140
Americas (FAO),,1995,22521237
Americas (FAO),,1996,26132948
Americas (FAO),,1997,23551771
Americas (FAO),,1998,22199310
Americas (FAO),,1999,20788991
Americas (FAO),,2000,22430434
Americas (FAO),,2001,18303520
Americas (FAO),,2002,14525801
Americas (FAO),,2003,21352624
Americas (FAO),,2004,21613582
Americas (FAO),,2005,18821266
Americas (FAO),,2006,16702155
Americas (FAO),,2007,18528276
Americas (FAO),,2008,20484548
Americas (FAO),,2009,17375186
Americas (FAO),,2010,16046250
Americas (FAO),,2011,16870272
Americas (FAO),,2012,19816487
Americas (FAO),,2013,21215074
Americas (FAO),,2014,15702382
Americas (FAO),,2015,17333411
Americas (FAO),,2016,20239308
Americas (FAO),,2017,17103397
Americas (FAO),,2018,18957385
Americas (FAO),,2019,21339020
Americas (FAO),,2020,21145062
Argentina,ARG,1961,800000
Argentina,ARG,1962,345000
Argentina,ARG,1963,1020000
Argentina,ARG,1964,826000
Argentina,ARG,1965,404000
Argentina,ARG,1966,438000
Argentina,ARG,1967,588000
Argentina,ARG,1968,556000
Argentina,ARG,1969,570000
Argentina,ARG,1970,367000
Argentina,ARG,1971,553000
Argentina,ARG,1972,880000
Argentina,ARG,1973,732000
Argentina,ARG,1974,430000
Argentina,ARG,1975,522700
Argentina,ARG,1976,760000
Argentina,ARG,1977,353000
Argentina,ARG,1978,554000
Argentina,ARG,1979,339000
Argentina,ARG,1980,217000
Argentina,ARG,1981,131500
Argentina,ARG,1982,211400
Argentina,ARG,1983,166000
Argentina,ARG,1984,224000
Argentina,ARG,1985,118000
Argentina,ARG,1986,139900
Argentina,ARG,1987,281700
Argentina,ARG,1988,328800
Argentina,ARG,1989,364770
Argentina,ARG,1990,326600
Argentina,ARG,1991,573360
Argentina,ARG,1992,583200
Argentina,ARG,1993,459439
Argentina,ARG,1994,344692
Argentina,ARG,1995,385848
Argentina,ARG,1996,536443
Argentina,ARG,1997,925790
Argentina,ARG,1998,538408
Argentina,ARG,1999,419556
Argentina,ARG,2000,722490
Argentina,ARG,2001,530045
Argentina,ARG,2002,549830
Argentina,ARG,2003,1005460
Argentina,ARG,2004,894610
Argentina,ARG,2005,799423
Argentina,ARG,2006,1268465
Argentina,ARG,2007,1474510
Argentina,ARG,2008,1681880
Argentina,ARG,2009,1355801
Argentina,ARG,2010,2964075
Argentina,ARG,2011,4085770
Argentina,ARG,2012,5158180
Argentina,ARG,2013,4705160
Argentina,ARG,2014,2901492
Argentina,ARG,2015,2901495
Argentina,ARG,2016,4938723
Argentina,ARG,2017,3741158
Argentina,ARG,2018,5061069
Argentina,ARG,2019,4702068
Argentina,ARG,2020,4483062
Armenia,ARM,1992,150900
Armenia,ARM,1993,83300
Armenia,ARM,1994,69100
Armenia,ARM,1995,89300
Armenia,ARM,1996,105200
Armenia,ARM,1997,59327
Armenia,ARM,1998,71211
Armenia,ARM,1999,65128
Armenia,ARM,2000,32944
Armenia,ARM,2001,107451
Armenia,ARM,2002,109495
Armenia,ARM,2003,68273
Armenia,ARM,2004,131138
Armenia,ARM,2005,110771
Armenia,ARM,2006,49476
Armenia,ARM,2007,162566
Armenia,ARM,2008,149091
Armenia,ARM,2009,145141
Armenia,ARM,2010,118574
Armenia,ARM,2011,178226
Armenia,ARM,2012,170118
Armenia,ARM,2013,188783
Armenia,ARM,2014,190120
Armenia,ARM,2015,187296
Armenia,ARM,2016,197057
Armenia,ARM,2017,92930
Armenia,ARM,2018,124167
Armenia,ARM,2019,68333
Armenia,ARM,2020,89986
Asia,,1961,16196470
Asia,,1962,19548367
Asia,,1963,17303267
Asia,,1964,15639237
Asia,,1965,17360646
Asia,,1966,15328350
Asia,,1967,15726091
Asia,,1968,16316042
Asia,,1969,15255823
Asia,,1970,14246231
Asia,,1971,14783541
Asia,,1972,15077318
Asia,,1973,12731048
Asia,,1974,13828717
Asia,,1975,16587107
Asia,,1976,17757078
Asia,,1977,14202517
Asia,,1978,15979763
Asia,,1979,16548342
Asia,,1980,15522570
Asia,,1981,17933380
Asia,,1982,17297078
Asia,,1983,16564108
Asia,,1984,16961858
Asia,,1985,17066138
Asia,,1986,18022245
Asia,,1987,17386927
Asia,,1988,21987551
Asia,,1989,15189526
Asia,,1990,20395339
Asia,,1991,20142162
Asia,,1992,30670142
Asia,,1993,30691094
Asia,,1994,28280537
Asia,,1995,24140630
Asia,,1996,24757978
Asia,,1997,22842610
Asia,,1998,21928149
Asia,,1999,19464020
Asia,,2000,17472440
Asia,,2001,19200107
Asia,,2002,22501193
Asia,,2003,21747384
Asia,,2004,21248090
Asia,,2005,22176617
Asia,,2006,22899294
Asia,,2007,20708702
Asia,,2008,16505656
Asia,,2009,20142123
Asia,,2010,19246332
Asia,,2011,19711812
Asia,,2012,18659418
Asia,,2013,21388981
Asia,,2014,20324118
Asia,,2015,22643626
Asia,,2016,21654650
Asia,,2017,20312904
Asia,,2018,20193101
Asia,,2019,25384226
Asia,,2020,25474893
Asia (FAO),,1961,16242190
Asia (FAO),,1962,19639807
Asia (FAO),,1963,17392675
Asia (FAO),,1964,15705277
Asia (FAO),,1965,17497806
Asia (FAO),,1966,15379150
Asia (FAO),,1967,15812451
Asia (FAO),,1968,16366842
Asia (FAO),,1969,15357423
Asia (FAO),,1970,14302111
Asia (FAO),,1971,14895301
Asia (FAO),,1972,15158598
Asia (FAO),,1973,12744048
Asia (FAO),,1974,13940477
Asia (FAO),,1975,16637907
Asia (FAO),,1976,17812958
Asia (FAO),,1977,14259413
Asia (FAO),,1978,16047835
Asia (FAO),,1979,16612350
Asia (FAO),,1980,15603850
Asia (FAO),,1981,18009580
Asia (FAO),,1982,17378358
Asia (FAO),,1983,16626108
Asia (FAO),,1984,17045108
Asia (FAO),,1985,17168938
Asia (FAO),,1986,18083245
Asia (FAO),,1987,17498927
Asia (FAO),,1988,22132551
Asia (FAO),,1989,15329526
Asia (FAO),,1990,20493339
Asia (FAO),,1991,20201662
Asia (FAO),,1992,30841142
Asia (FAO),,1993,30884094
Asia (FAO),,1994,28434537
Asia (FAO),,1995,24274630
Asia (FAO),,1996,24885978
Asia (FAO),,1997,22878610
Asia (FAO),,1998,21982149
Asia (FAO),,1999,19576720
Asia (FAO),,2000,17510040
Asia (FAO),,2001,19316607
Asia (FAO),,2002,22629593
Asia (FAO),,2003,21897384
Asia (FAO),,2004,21349080
Asia (FAO),,2005,22236903
Asia (FAO),,2006,22957666
Asia (FAO),,2007,20760709
Asia (FAO),,2008,16509152
Asia (FAO),,2009,20182215
Asia (FAO),,2010,19292394
Asia (FAO),,2011,19757528
Asia (FAO),,2012,18726446
Asia (FAO),,2013,21424987
Asia (FAO),,2014,20326838
Asia (FAO),,2015,22695801
Asia (FAO),,2016,21657557
Asia (FAO),,2017,20331658
Asia (FAO),,2018,20201021
Asia (FAO),,2019,25414626
Asia (FAO),,2020,25516523
Australia,AUS,1961,941304
Australia,AUS,1962,897655
Australia,AUS,1963,984200
Australia,AUS,1964,1118465
Australia,AUS,1965,948822
Australia,AUS,1966,1396808
Australia,AUS,1967,834580
Australia,AUS,1968,1646296
Australia,AUS,1969,1698732
Australia,AUS,1970,2351000
Australia,AUS,1971,3065000
Australia,AUS,1972,1727000
Australia,AUS,1973,2397000
Australia,AUS,1974,2515000
Australia,AUS,1975,3179000
Australia,AUS,1976,2846939
Australia,AUS,1977,2383369
Australia,AUS,1978,4006000
Australia,AUS,1979,3703449
Australia,AUS,1980,2682000
Australia,AUS,1981,3450000
Australia,AUS,1982,1938763
Australia,AUS,1983,4889501
Australia,AUS,1984,5554305
Australia,AUS,1985,4801000
Australia,AUS,1986,3548000
Australia,AUS,1987,3417000
Australia,AUS,1988,3241585
Australia,AUS,1989,4044167
Australia,AUS,1990,4107755
Australia,AUS,1991,4529797
Australia,AUS,1992,5396721
Australia,AUS,1993,6668230
Australia,AUS,1994,2913190
Australia,AUS,1995,5822680
Australia,AUS,1996,6696110
Australia,AUS,1997,6482000
Australia,AUS,1998,5987000
Australia,AUS,1999,5043000
Australia,AUS,2000,6743000
Australia,AUS,2001,6743463
Australia,AUS,2002,8279769
Australia,AUS,2003,3864833
Australia,AUS,2004,10381828
Australia,AUS,2005,7739767
Australia,AUS,2006,9481741
Australia,AUS,2007,4257032
Australia,AUS,2008,7160168
Australia,AUS,2009,7996506
Australia,AUS,2010,7864551
Australia,AUS,2011,7994720
Australia,AUS,2012,8220863
Australia,AUS,2013,7471592
Australia,AUS,2014,9174417
Australia,AUS,2015,8646321
Australia,AUS,2016,8992274
Australia,AUS,2017,13505990
Australia,AUS,2018,9253852
Australia,AUS,2019,8818946
Australia,AUS,2020,10127175
Austria,AUT,1961,511571
Austria,AUT,1962,556640
Austria,AUT,1963,617331
Austria,AUT,1964,605177
Austria,AUT,1965,522864
Austria,AUT,1966,705712
Austria,AUT,1967,772210
Austria,AUT,1968,769979
Austria,AUT,1969,933706
Austria,AUT,1970,913301
Austria,AUT,1971,1015991
Austria,AUT,1972,977097
Austria,AUT,1973,1086730
Austria,AUT,1974,1237869
Austria,AUT,1975,1006242
Austria,AUT,1976,1286583
Austria,AUT,1977,1211734
Austria,AUT,1978,1423602
Austria,AUT,1979,1128714
Austria,AUT,1980,1514491
Austria,AUT,1981,1219816
Austria,AUT,1982,1436543
Austria,AUT,1983,1448917
Austria,AUT,1984,1516981
Austria,AUT,1985,1521408
Austria,AUT,1986,1292450
Austria,AUT,1987,1178686
Austria,AUT,1988,1366424
Austria,AUT,1989,1421645
Austria,AUT,1990,1520554
Austria,AUT,1991,1427045
Austria,AUT,1992,1342141
Austria,AUT,1993,1099646
Austria,AUT,1994,1184350
Austria,AUT,1995,1065188
Austria,AUT,1996,1082789
Austria,AUT,1997,1257800
Austria,AUT,1998,1211557
Austria,AUT,1999,1152801
Austria,AUT,2000,854667
Austria,AUT,2001,1012407
Austria,AUT,2002,861391
Austria,AUT,2003,882322
Austria,AUT,2004,1006742
Austria,AUT,2005,879628
Austria,AUT,2006,914052
Austria,AUT,2007,810980
Austria,AUT,2008,967921
Austria,AUT,2009,835107
Austria,AUT,2010,777961
Austria,AUT,2011,859375
Austria,AUT,2012,662466
Austria,AUT,2013,734051
Austria,AUT,2014,845705
Austria,AUT,2015,840433
Austria,AUT,2016,859702
Austria,AUT,2017,782029
Austria,AUT,2018,691030
Austria,AUT,2019,828130
Austria,AUT,2020,864860
Azerbaijan,AZE,1992,354224
Azerbaijan,AZE,1993,276791
Azerbaijan,AZE,1994,262173
Azerbaijan,AZE,1995,262480
Azerbaijan,AZE,1996,213165
Azerbaijan,AZE,1997,144796
Azerbaijan,AZE,1998,76398
Azerbaijan,AZE,1999,102321
Azerbaijan,AZE,2000,219463
Azerbaijan,AZE,2001,326983
Azerbaijan,AZE,2002,295188
Azerbaijan,AZE,2003,324306
Azerbaijan,AZE,2004,349853
Azerbaijan,AZE,2005,368947
Azerbaijan,AZE,2006,399737
Azerbaijan,AZE,2007,474646
Azerbaijan,AZE,2008,605525
Azerbaijan,AZE,2009,643680
Azerbaijan,AZE,2010,513302
Azerbaijan,AZE,2011,616440
Azerbaijan,AZE,2012,721203
Azerbaijan,AZE,2013,799043
Azerbaijan,AZE,2014,681759
Azerbaijan,AZE,2015,1036482
Azerbaijan,AZE,2016,928923
Azerbaijan,AZE,2017,792182
Azerbaijan,AZE,2018,916036
Azerbaijan,AZE,2019,988184
Azerbaijan,AZE,2020,992439
Bangladesh,BGD,1961,17272
Bangladesh,BGD,1962,18288
Bangladesh,BGD,1963,21336
Bangladesh,BGD,1964,13208
Bangladesh,BGD,1965,12192
Bangladesh,BGD,1966,12200
Bangladesh,BGD,1967,15200
Bangladesh,BGD,1968,16300
Bangladesh,BGD,1969,18300
Bangladesh,BGD,1970,19300
Bangladesh,BGD,1971,26400
Bangladesh,BGD,1972,21300
Bangladesh,BGD,1973,16300
Bangladesh,BGD,1974,15419
Bangladesh,BGD,1975,16367
Bangladesh,BGD,1976,17126
Bangladesh,BGD,1977,14744
Bangladesh,BGD,1978,13474
Bangladesh,BGD,1979,12592
Bangladesh,BGD,1980,12694
Bangladesh,BGD,1981,11640
Bangladesh,BGD,1982,10406
Bangladesh,BGD,1983,8844
Bangladesh,BGD,1984,6461
Bangladesh,BGD,1985,15491
Bangladesh,BGD,1986,14073
Bangladesh,BGD,1987,12227
Bangladesh,BGD,1988,11449
Bangladesh,BGD,1989,11477
Bangladesh,BGD,1990,11684
Bangladesh,BGD,1991,10800
Bangladesh,BGD,1992,10200
Bangladesh,BGD,1993,7570
Bangladesh,BGD,1994,6235
Bangladesh,BGD,1995,6000
Bangladesh,BGD,1996,6015
Bangladesh,BGD,1997,5985
Bangladesh,BGD,1998,6040
Bangladesh,BGD,1999,5000
Bangladesh,BGD,2000,5000
Bangladesh,BGD,2001,4000
Bangladesh,BGD,2002,3000
Bangladesh,BGD,2003,1695
Bangladesh,BGD,2004,1375
Bangladesh,BGD,2005,1170
Bangladesh,BGD,2006,760
Bangladesh,BGD,2007,755
Bangladesh,BGD,2008,537
Bangladesh,BGD,2009,472
Bangladesh,BGD,2010,528
Bangladesh,BGD,2011,484
Bangladesh,BGD,2012,320
Bangladesh,BGD,2013,260
Bangladesh,BGD,2014,266
Bangladesh,BGD,2015,307
Bangladesh,BGD,2016,317
Bangladesh,BGD,2017,287
Bangladesh,BGD,2018,244
Bangladesh,BGD,2019,157
Bangladesh,BGD,2020,124
Belarus,BLR,1992,2933800
Belarus,BLR,1993,3164900
Belarus,BLR,1994,3013300
Belarus,BLR,1995,1964500
Belarus,BLR,1996,2193700
Belarus,BLR,1997,2358900
Belarus,BLR,1998,1622800
Belarus,BLR,1999,1180900
Belarus,BLR,2000,1377600
Belarus,BLR,2001,1700400
Belarus,BLR,2002,1681000
Belarus,BLR,2003,1608706
Belarus,BLR,2004,2031666
Belarus,BLR,2005,1863810
Belarus,BLR,2006,1830647
Belarus,BLR,2007,1911267
Belarus,BLR,2008,2211890
Belarus,BLR,2009,2123424
Belarus,BLR,2010,1965780
Belarus,BLR,2011,1978794
Belarus,BLR,2012,1917390
Belarus,BLR,2013,1673272
Belarus,BLR,2014,1988102
Belarus,BLR,2015,1849035
Belarus,BLR,2016,1252668
Belarus,BLR,2017,1419829
Belarus,BLR,2018,944341
Belarus,BLR,2019,1098189
Belarus,BLR,2020,1375015
Belgium,BEL,2000,333400
Belgium,BEL,2001,368700
Belgium,BEL,2002,342700
Belgium,BEL,2003,270857
Belgium,BEL,2004,304777
Belgium,BEL,2005,301647
Belgium,BEL,2006,367348
Belgium,BEL,2007,374454
Belgium,BEL,2008,328768
Belgium,BEL,2009,452528
Belgium,BEL,2010,373400
Belgium,BEL,2011,339658
Belgium,BEL,2012,359100
Belgium,BEL,2013,385614
Belgium,BEL,2014,399970
Belgium,BEL,2015,434140
Belgium,BEL,2016,345559
Belgium,BEL,2017,381128
Belgium,BEL,2018,324120
Belgium,BEL,2019,401060
Belgium,BEL,2020,329470
Belgium-Luxembourg (FAO),,1961,427776
Belgium-Luxembourg (FAO),,1962,522498
Belgium-Luxembourg (FAO),,1963,504204
Belgium-Luxembourg (FAO),,1964,534001
Belgium-Luxembourg (FAO),,1965,550460
Belgium-Luxembourg (FAO),,1966,522829
Belgium-Luxembourg (FAO),,1967,668625
Belgium-Luxembourg (FAO),,1968,621912
Belgium-Luxembourg (FAO),,1969,610263
Belgium-Luxembourg (FAO),,1970,570821
Belgium-Luxembourg (FAO),,1971,643709
Belgium-Luxembourg (FAO),,1972,692765
Belgium-Luxembourg (FAO),,1973,775569
Belgium-Luxembourg (FAO),,1974,752553
Belgium-Luxembourg (FAO),,1975,476497
Belgium-Luxembourg (FAO),,1976,644796
Belgium-Luxembourg (FAO),,1977,733125
Belgium-Luxembourg (FAO),,1978,840848
Belgium-Luxembourg (FAO),,1979,841658
Belgium-Luxembourg (FAO),,1980,865728
Belgium-Luxembourg (FAO),,1981,823821
Belgium-Luxembourg (FAO),,1982,814337
Belgium-Luxembourg (FAO),,1983,705333
Belgium-Luxembourg (FAO),,1984,935546
Belgium-Luxembourg (FAO),,1985,746565
Belgium-Luxembourg (FAO),,1986,857629
Belgium-Luxembourg (FAO),,1987,738313
Belgium-Luxembourg (FAO),,1988,802829
Belgium-Luxembourg (FAO),,1989,706134
Belgium-Luxembourg (FAO),,1990,593511
Belgium-Luxembourg (FAO),,1991,559982
Belgium-Luxembourg (FAO),,1992,519676
Belgium-Luxembourg (FAO),,1993,458627
Belgium-Luxembourg (FAO),,1994,406126
Belgium-Luxembourg (FAO),,1995,419910
Belgium-Luxembourg (FAO),,1996,454830
Belgium-Luxembourg (FAO),,1997,441226
Belgium-Luxembourg (FAO),,1998,374500
Belgium-Luxembourg (FAO),,1999,387564
Bhutan,BTN,1961,2200
Bhutan,BTN,1962,2400
Bhutan,BTN,1963,2700
Bhutan,BTN,1964,2700
Bhutan,BTN,1965,2800
Bhutan,BTN,1966,2800
Bhutan,BTN,1967,3000
Bhutan,BTN,1968,3200
Bhutan,BTN,1969,3200
Bhutan,BTN,1970,3300
Bhutan,BTN,1971,3300
Bhutan,BTN,1972,3500
Bhutan,BTN,1973,3500
Bhutan,BTN,1974,3900
Bhutan,BTN,1975,3900
Bhutan,BTN,1976,3300
Bhutan,BTN,1977,3500
Bhutan,BTN,1978,3600
Bhutan,BTN,1979,3900
Bhutan,BTN,1980,3800
Bhutan,BTN,1981,4000
Bhutan,BTN,1982,4300
Bhutan,BTN,1983,4100
Bhutan,BTN,1984,4205
Bhutan,BTN,1985,4200
Bhutan,BTN,1986,4000
Bhutan,BTN,1987,4000
